,V1,V2,V3,C4,C3,C2,C1
,Class 0,Class 0,Class 0,"Class 000 – Computer science, information & general works","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"000 Computer science, knowledge & systems","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"000 Computer science, information & general works","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,001 Knowledge,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"002 The book (writing, libraries, and book-related topics)","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,003 Systems,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,004 Data processing & computer science,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"005 Computer programming, programs & data","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,006 Special computer methods,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,007–009 [Unassigned],"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,010 Bibliographies,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,010 Bibliography,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,011 Bibliographies,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,012 Bibliographies of individuals,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,013 [Unassigned],"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,014 Bibliographies of anonymous & pseudonymous works,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,015 Bibliographies of works from specific places,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,016 Bibliographies of works on specific subjects,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,017 General subject catalogs,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"018 Catalogs arranged by author, date, etc.","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,019 Dictionary catalogs,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,020 Library & information sciences,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,020 Library & information sciences,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"021 Library relationships (with archives, information centers, etc.)","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,022 Administration of physical plant,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,023 Personnel management,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,024 [Unassigned],"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,025 Library operations,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,026 Libraries for specific subjects,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,027 General libraries,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,028 Reading & use of other information media,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,029 [Unassigned],"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,030 Encyclopedias & books of facts,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,030 General encyclopedic works,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,031 Encyclopedias in American English,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,032 Encyclopedias in English,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,033 Encyclopedias in other Germanic languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"034 Encyclopedias in French, Occitan, and Catalan","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"035 Encyclopedias in Italian, Romanian, and related languages","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,036 Encyclopedias in Spanish & Portuguese,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,037 Encyclopedias in Slavic languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,038 Encyclopedias in Scandinavian languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,039 Encyclopedias in other languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,040 Unassigned (formerly Biographies),"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"050 Magazines, journals & serials","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,050 General serial publications,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,051 Serials in American English,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,052 Serials in English,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,053 Serials in other Germanic languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"054 Serials in French, Occitan, and Catalan","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"055 Serials in Italian, Romanian, and related languages","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,056 Serials in Spanish & Portuguese,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,057 Serials in Slavic languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,058 Serials in Scandinavian languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,059 Serials in other languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"060 Associations, organizations & museums","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,060 General organizations & museum science,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,061 Organizations in North America,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,062 Organizations in British Isles; in England,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,063 Organizations in central Europe; in Germany,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,064 Organizations in France & Monaco,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,065 Organizations in Italy & adjacent islands,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,066 Organizations in Iberian peninsula & adjacent islands,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,067 Organizations in eastern Europe; in Russia,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,068 Organizations in other geographic areas,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,069 Museum science,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"070 News media, journalism & publishing","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"070 News media, journalism, and publishing","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,071 Newspapers in North America,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,072 Newspapers in British Isles; in England,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,073 Newspapers in central Europe; in Germany,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,074 Newspapers in France & Monaco,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,075 Newspapers in Italy & adjacent islands,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,076 Newspapers in Iberian peninsula & adjacent islands,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,077 Newspapers in eastern Europe; in Russia,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,078 Newspapers in Scandinavia,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,079 Newspapers in other geographic areas,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,080 Quotations,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,080 General collections,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,081 Collections in American English,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,082 Collections in English,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,083 Collections in other Germanic languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"084 Collections in French, Occitan, Catalan","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"085 Collections in Italian, Romanian, & related languages","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,086 Collections in Spanish & Portuguese,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,087 Collections in Slavic languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,088 Collections in Scandinavian languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,089 Collections in other languages,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,090 Manuscripts & rare books,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,090 Manuscripts and rare books,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,091 Manuscripts,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,092 Block books,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,093 Incunabula,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,094 Printed books,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,095 Books notable for bindings,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,096 Books notable for illustrations,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,097 Books notable for ownership or origin,"Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,"098 Prohibited works, forgeries, and hoaxes","Class 000 – Computer science, information & general works",,
,Class 0,Class 0,Class 0,099 Books notable for format,"Class 000 – Computer science, information & general works",,
,Class 100,Class 100,Class 100,100 Philosophy,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,100 Philosophy & psychology,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,101 Theory of philosophy,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,102 Miscellany,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,103 Dictionaries & encyclopedias,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,104 [Unassigned],Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,105 Serial publications,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,106 Organizations & management,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,"107 Education, research, related topics of philosophy",Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,108 Groups of people,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,109 History & collected biography,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,110 Metaphysics,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,110 Metaphysics,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,111 Ontology,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,112 No longer used—formerly Methodology,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,113 Cosmology (Philosophy of nature),Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,114 Space,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,115 Time,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,116 Change,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,117 Structure,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,118 Force and energy,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,119 Number and quantity,Class 100 – Philosophy & psychology,,
,Class 100,Class 100,Class 100,120 Epistemology,Class 100 – Philosophy & psychology,,
