V1,V2,V3,C4,C3,C2,C1,NOT
,,,1. EXISTENCE ,"1. BEING, IN THE ABSTRACT ",SECTION I. EXISTENCE ,ABSTRACT RELATIONS,
,,,2. INEXISTENCE ,"1. BEING, IN THE ABSTRACT ",SECTION I. EXISTENCE ,ABSTRACT RELATIONS,
,,,3. SUBSTANTIALITY ,"2. BEING, IN THE CONCRETE ",SECTION I. EXISTENCE ,ABSTRACT RELATIONS,
,,,4. UNSUBSTANTIALITY ,"2. BEING, IN THE CONCRETE ",SECTION I. EXISTENCE ,ABSTRACT RELATIONS,
,,,5. INTRINSICALITY  ,3. FORMAL EXISTENCE ,SECTION I. EXISTENCE ,ABSTRACT RELATIONS,Internal conditions 
,,,6. EXTRINSICALITY ,3. FORMAL EXISTENCE ,SECTION I. EXISTENCE ,ABSTRACT RELATIONS,External conditions 
,,,7. STATE ,4. MODAL EXISTENCE ,SECTION I. EXISTENCE ,ABSTRACT RELATIONS,Absolute 
,,,8. CIRCUMSTANCE ,4. MODAL EXISTENCE ,SECTION I. EXISTENCE ,ABSTRACT RELATIONS,Relative 
,,,9. RELATION ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,10. IRRELATION ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,11. CONSANGUINITY ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,12. CORRELATION ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,13. IDENTITY ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,14. CONTRARIETY ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,15. DIFFERENCE ,1. ABSOLUTE RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,16. UNIFORMITY ,2. CONTINUOUS RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,16a. nonuniformity
,,,17. SIMILARITY ,3. PARTIAL RELATION,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,18. DISSIMILARITY ,3. PARTIAL RELATION,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,19. IMITATION ,3. PARTIAL RELATION,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,20. NONIMITATION ,3. PARTIAL RELATION,SECTION II. RELATION ,ABSTRACT RELATIONS,20a. variation 
,,,21. COPY ,3. PARTIAL RELATION,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,22. PROTOTYPE ,3. PARTIAL RELATION,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,23. AGREEMENT ,4. GENERAL RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,24. DISAGREEMENT ,4. GENERAL RELATION ,SECTION II. RELATION ,ABSTRACT RELATIONS,
,,,25. QUANTITY ,1. SIMPLE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,26. DEGREE ,1. SIMPLE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,27. EQUALITY ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,28. INEQUALITY ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,29. MEAN ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,30. COMPENSATION ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
